spotName,spotId,href
katakor,584204214e65fad6a7709b9c,https://www.surfline.com/surf-report/katakor/584204214e65fad6a7709b9c
dixcove,6409f8fb4eb375644f83432e,https://www.surfline.com/surf-report/dixcove/6409f8fb4eb375644f83432e
mutrakni-point,6409f8fae9203082f88cc1dd,https://www.surfline.com/surf-report/mutrakni-point/6409f8fae9203082f88cc1dd
ankobra,6409f90599dd44e8b2f217ba,https://www.surfline.com/surf-report/ankobra/6409f90599dd44e8b2f217ba
fort-sebastian,584204214e65fad6a7709b9a,https://www.surfline.com/surf-report/fort-sebastian/584204214e65fad6a7709b9a
betty-s,584204214e65fad6a7709b84,https://www.surfline.com/surf-report/betty-s/584204214e65fad6a7709b84
busua-beach,584204214e65fad6a7709b83,https://www.surfline.com/surf-report/busua-beach/584204214e65fad6a7709b83
takoradi,6409f903451905179b8b94e7,https://www.surfline.com/surf-report/takoradi/6409f903451905179b8b94e7
plage-de-lido,6409ecdd4eb37584da807a12,https://www.surfline.com/surf-report/plage-de-lido/6409ecdd4eb37584da807a12
dagbego-dabego-,6408ea6645190594ea5d341a,https://www.surfline.com/surf-report/dagbego-dabego-/6408ea6645190594ea5d341a
grand-drewin,6408f49ab6d769a49c142dc1,https://www.surfline.com/surf-report/grand-drewin/6408f49ab6d769a49c142dc1
san-pedro,6408ee48606c455e73721fde,https://www.surfline.com/surf-report/san-pedro/6408ee48606c455e73721fde
dagbego,584204214e65fad6a7709cc8,https://www.surfline.com/surf-report/dagbego/584204214e65fad6a7709cc8
sassandra,584204214e65fad6a7709cc7,https://www.surfline.com/surf-report/sassandra/584204214e65fad6a7709cc7
assinie,584204214e65fad6a7709ccb,https://www.surfline.com/surf-report/assinie/584204214e65fad6a7709ccb
la-passe,584204214e65fad6a7709cc9,https://www.surfline.com/surf-report/la-passe/584204214e65fad6a7709cc9
grand-lahou,584204214e65fad6a7709cca,https://www.surfline.com/surf-report/grand-lahou/584204214e65fad6a7709cca
tico-s,584204214e65fad6a7709b99,https://www.surfline.com/surf-report/tico-s/584204214e65fad6a7709b99
cassava,6409ee7f99dd44578cefacf0,https://www.surfline.com/surf-report/cassava/6409ee7f99dd44578cefacf0
cotton-trees,6409ee814519052e0d892957,https://www.surfline.com/surf-report/cotton-trees/6409ee814519052e0d892957
fisherman-s-point,584204214e65fad6a7709b96,https://www.surfline.com/surf-report/fisherman-s-point/584204214e65fad6a7709b96
robertsport,584204214e65fad6a7709b97,https://www.surfline.com/surf-report/robertsport/584204214e65fad6a7709b97
bernard-beach,6409ee84e92030709f8a59a6,https://www.surfline.com/surf-report/bernard-beach/6409ee84e92030709f8a59a6
dorothy-s,6409ee7e45190585a98928a8,https://www.surfline.com/surf-report/dorothy-s/6409ee7e45190585a98928a8
coopers-beach,6409ee86606c458ad49d2080,https://www.surfline.com/surf-report/coopers-beach/6409ee86606c458ad49d2080
tropicana,6409ee824519050a298929b1,https://www.surfline.com/surf-report/tropicana/6409ee824519050a298929b1
mumba-point,584204214e65fad6a7709b98,https://www.surfline.com/surf-report/mumba-point/584204214e65fad6a7709b98
lavanono,584204214e65fad6a7709c3d,https://www.surfline.com/surf-report/lavanono/584204214e65fad6a7709c3d
ambinanibe-vinanibe-,663d0d9dbef8601019162389,https://www.surfline.com/surf-report/ambinanibe-vinanibe-/663d0d9dbef8601019162389
baie-de-galion,584204214e65fad6a7709c40,https://www.surfline.com/surf-report/baie-de-galion/584204214e65fad6a7709c40
baie-des-singes,584204214e65fad6a7709c3e,https://www.surfline.com/surf-report/baie-des-singes/584204214e65fad6a7709c3e
libanona,584204214e65fad6a7709c3f,https://www.surfline.com/surf-report/libanona/584204214e65fad6a7709c3f
monseigneur,584204214e65fad6a7709c41,https://www.surfline.com/surf-report/monseigneur/584204214e65fad6a7709c41
parkers-,6418e22ae072f8056f02b5f6,https://www.surfline.com/surf-report/parkers-/6418e22ae072f8056f02b5f6
chefs,584204214e65fad6a7709c3c,https://www.surfline.com/surf-report/chefs/584204214e65fad6a7709c3c
flame-balls,584204214e65fad6a7709c39,https://www.surfline.com/surf-report/flame-balls/584204214e65fad6a7709c39
jelly-babies,584204214e65fad6a7709c3a,https://www.surfline.com/surf-report/jelly-babies/584204214e65fad6a7709c3a
puss-puss,584204214e65fad6a7709c3b,https://www.surfline.com/surf-report/puss-puss/584204214e65fad6a7709c3b
resorts,6425acca4d6ed3347f3d8da7,https://www.surfline.com/surf-report/resorts/6425acca4d6ed3347f3d8da7
ifaty,584204214e65fad6a7709c37,https://www.surfline.com/surf-report/ifaty/584204214e65fad6a7709c37
tt-s,584204214e65fad6a7709c38,https://www.surfline.com/surf-report/tt-s/584204214e65fad6a7709c38
